Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Mexico,2019,3,1/19/2019,408,364,,76,16,15,14,28,,11,,84,12,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,4,1/26/2019,358,319,,69,12,,,25,,,,75,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,5,2/2/2019,392,349,,88,18,11,,23,,,,91,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,6,2/9/2019,369,321,,66,12,12,12,29,,,,85,15,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,7,2/16/2019,374,334,,64,10,16,11,30,,,,89,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,8,2/23/2019,378,332,,67,17,16,10,24,,,0,77,17,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,9,3/2/2019,392,346,,69,13,,10,25,,,,88,22,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,10,3/9/2019,350,315,,69,11,11,,20,,,,97,19,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,11,3/16/2019,404,355,,79,12,11,,32,10,,,70,18,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,12,3/23/2019,401,351,,66,18,13,12,27,,,,88,16,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,13,3/30/2019,374,326,,70,,,,20,,,,93,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,14,4/6/2019,337,285,,53,13,,,23,,,,71,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,15,4/13/2019,375,322,,67,13,10,,28,,,,77,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,16,4/20/2019,347,308,,57,15,14,,13,,,,87,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,17,4/27/2019,376,318,,69,14,10,,26,,10,,72,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,18,5/4/2019,359,317,,60,16,12,10,26,,,,74,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,19,5/11/2019,343,294,,64,21,,,15,,,,75,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,20,5/18/2019,341,299,,65,,13,,21,,,0,86,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Mexico,2019,21,5/25/2019,346,304,,74,,11,,21,,,,74,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,22,6/1/2019,348,297,,55,15,,,17,,,,91,12,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,23,6/8/2019,358,299,,61,10,10,,28,,,,75,15,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,24,6/15/2019,357,307,,79,10,15,,15,,,,74,23,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,25,6/22/2019,335,279,,74,,10,,16,,,,73,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,26,6/29/2019,340,293,,60,11,,,13,,,,83,22,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,27,7/6/2019,364,314,,52,14,,,20,,,,94,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,28,7/13/2019,377,310,,69,16,14,,12,,,0,76,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,29,7/20/2019,344,286,,65,12,12,,17,,,,75,21,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,30,7/27/2019,311,259,,50,10,10,,12,,,,81,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,31,8/3/2019,340,302,,60,13,,,13,,,,79,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,32,8/10/2019,321,271,,58,13,15,,12,,,,64,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,33,8/17/2019,335,294,,61,12,,,17,,,,83,11,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,34,8/24/2019,342,283,,64,17,,,18,,,,66,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,35,8/31/2019,349,308,,76,12,11,,13,,,,83,16,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,36,9/7/2019,390,326,,76,13,14,,12,,,,93,13,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,37,9/14/2019,331,277,,68,13,10,,25,,,,51,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,38,9/21/2019,367,308,,60,15,,,21,,,,83,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2019,39,9/28/2019,344,296,,76,15,,,20,,,,66,10,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,40,10/5/2019,376,326,,73,12,,,20,,,,86,13,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,41,10/12/2019,358,314,,62,13,,,18,,,,84,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,42,10/19/2019,328,279,,58,,,10,23,,,0,66,21,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2019,43,10/26/2019,344,310,,59,14,14,,22,,,,69,17,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,44,11/2/2019,356,310,,76,,12,,14,,,,78,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,45,11/9/2019,354,306,,68,,13,,12,,,,76,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,46,11/16/2019,340,300,,60,12,13,,16,,12,0,72,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
New Mexico,2019,47,11/23/2019,352,310,,70,16,,,23,,,,70,20,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,48,11/30/2019,408,349,,64,11,,,16,,13,,101,18,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,49,12/7/2019,363,320,,74,,14,,24,,,,76,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,50,12/14/2019,376,319,,78,13,10,,22,,,,80,11,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2019,51,12/21/2019,366,316,,78,,,,28,,10,,73,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2019,52,12/28/2019,378,328,,63,,14,,22,,12,,82,20,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,1,1/4/2020,402,352,,63,14,14,16,17,,,,98,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,2,1/11/2020,408,363,,66,16,10,14,44,,,,86,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,3,1/18/2020,387,337,,60,14,12,11,27,,,,89,,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2020,4,1/25/2020,396,360,,75,,11,16,23,,,,87,18,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,5,2/1/2020,367,321,,60,11,,12,21,12,,,73,21,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,6,2/8/2020,369,310,,77,15,,,25,,,,66,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,7,2/15/2020,381,337,,75,19,11,16,20,10,,,73,15,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,8,2/22/2020,385,335,,67,13,10,,25,,,0,88,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,9,2/29/2020,393,353,,61,,17,,31,,11,,101,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,10,3/7/2020,390,349,,60,19,14,10,21,,13,,87,23,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,11,3/14/2020,339,294,,54,13,13,,19,,,,78,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,12,3/21/2020,385,348,,61,15,10,13,24,,,,82,14,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,13,3/28/2020,359,318,,60,18,14,,26,,,,85,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,14,4/4/2020,388,351,,67,16,12,,31,11,,,77,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,15,4/11/2020,400,368,,66,,20,,28,,,,86,18,22,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,16,4/18/2020,414,373,,75,16,17,,20,,,,74,21,34,29,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,17,4/25/2020,397,358,,67,20,,,18,,,,70,16,47,43,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,18,5/2/2020,412,365,,53,11,11,,13,,,,79,15,73,71,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,19,5/9/2020,428,380,,56,17,14,,16,,,,91,18,64,62,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,20,5/16/2020,460,405,,71,17,12,,19,,12,11,74,14,64,56,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
New Mexico,2020,21,5/23/2020,389,346,,70,15,10,,25,10,,,55,13,42,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,22,5/30/2020,418,377,,63,15,,,16,,,13,90,18,49,47,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,23,6/6/2020,432,377,,66,18,14,,19,,,12,79,16,36,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,24,6/13/2020,421,386,,67,,13,,26,,11,22,76,17,35,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
New Mexico,2020,25,6/20/2020,394,353,,59,15,,,25,,,20,80,11,24,23,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,26,6/27/2020,386,344,,58,,14,,14,,12,23,71,19,19,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
New Mexico,2020,27,7/4/2020,429,396,,90,13,13,,23,,,23,82,16,25,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,28,7/11/2020,379,355,,73,13,15,,23,,,26,78,17,27,22,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,29,7/18/2020,362,322,,58,,16,,19,,,29,51,14,28,27,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,30,7/25/2020,387,360,,51,13,17,,13,,,40,59,18,40,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,31,8/1/2020,361,339,,67,16,16,,12,,,35,59,17,36,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,32,8/8/2020,360,337,,64,14,20,,14,,,34,61,16,18,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,33,8/15/2020,291,273,0,58,11,10,,15,,,21,38,13,12,11,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,34,8/22/2020,217,204,,39,,,0,14,,,21,47,,11,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
New York,2019,1,1/5/2019,2064,1943,24,388,57,49,60,118,34,41,26,574,86,0,0,,,,,,,,,,,,,,,
New York,2019,2,1/12/2019,2051,1926,26,409,51,43,58,98,41,38,31,537,87,0,0,,,,,,,,,,,,,,,
New York,2019,3,1/19/2019,2065,1960,21,417,49,50,65,108,42,50,25,567,80,0,0,,,,,,,,,,,,,,,
New York,2019,4,1/26/2019,2163,2043,26,426,65,57,62,127,49,30,46,563,109,0,0,,,,,,,,,,,,,,,
New York,2019,5,2/2/2019,2027,1908,26,379,57,60,64,111,48,48,29,530,81,0,0,,,,,,,,,,,,,,,
New York,2019,6,2/9/2019,2049,1906,32,411,44,45,57,101,38,44,30,528,82,0,0,,,,,,,,,,,,,,,
New York,2019,7,2/16/2019,2018,1903,30,415,53,52,62,106,32,40,34,543,79,0,0,,,,,,,,,,,,,,,
New York,2019,8,2/23/2019,2069,1948,30,405,50,39,64,112,45,38,29,547,86,0,0,,,,,,,,,,,,,,,
New York,2019,9,3/2/2019,2022,1903,26,414,50,59,76,118,51,25,34,523,74,0,0,,,,,,,,,,,,,,,
New York,2019,10,3/9/2019,2185,2057,25,430,60,53,76,107,49,54,41,553,105,0,0,,,,,,,,,,,,,,,
New York,2019,11,3/16/2019,2028,1912,25,402,49,57,72,135,37,48,32,552,80,0,0,,,,,,,,,,,,,,,
New York,2019,12,3/23/2019,2023,1896,30,388,59,40,73,123,48,34,33,530,85,0,0,,,,,,,,,,,,,,,
New York,2019,13,3/30/2019,2013,1893,31,398,63,46,53,111,51,37,32,516,91,0,0,,,,,,,,,,,,,,,
New York,2019,14,4/6/2019,2010,1888,23,409,59,49,66,103,30,35,44,501,88,0,0,,,,,,,,,,,,,,,
New York,2019,15,4/13/2019,1952,1836,31,400,57,38,69,107,40,36,40,515,63,0,0,,,,,,,,,,,,,,,
New York,2019,16,4/20/2019,1926,1813,24,401,61,37,41,112,44,34,29,490,83,0,0,,,,,,,,,,,,,,,
New York,2019,17,4/27/2019,1852,1749,23,418,45,45,57,110,37,37,28,451,77,0,0,,,,,,,,,,,,,,,
New York,2019,18,5/4/2019,1957,1854,15,432,49,52,58,116,38,42,31,518,76,0,0,,,,,,,,,,,,,,,
New York,2019,19,5/11/2019,1814,1697,27,380,60,44,46,105,35,32,21,430,94,0,0,,,,,,,,,,,,,,,
New York,2019,20,5/18/2019,1884,1759,25,407,50,34,44,126,34,40,30,487,78,0,0,,,,,,,,,,,,,,,
New York,2019,21,5/25/2019,1938,1799,24,397,50,44,44,105,34,39,31,501,90,0,0,,,,,,,,,,,,,,,
New York,2019,22,6/1/2019,1738,1604,13,407,38,47,46,82,39,40,30,433,63,0,0,,,,,,,,,,,,,,,
New York,2019,23,6/8/2019,1791,1674,22,392,34,47,40,100,33,40,31,484,80,0,0,,,,,,,,,,,,,,,
New York,2019,24,6/15/2019,1865,1746,21,407,51,44,43,103,41,43,26,485,72,0,0,,,,,,,,,,,,,,,
New York,2019,25,6/22/2019,1791,1672,16,409,60,49,44,85,45,30,22,470,59,0,0,,,,,,,,,,,,,,,
New York,2019,26,6/29/2019,1907,1779,14,404,59,54,35,105,32,38,37,502,75,0,0,,,,,,,,,,,,,,,
New York,2019,27,7/6/2019,1866,1699,25,405,56,46,34,103,31,35,31,434,88,0,0,,,,,,,,,,,,,,,
New York,2019,28,7/13/2019,1756,1605,19,381,44,42,33,96,32,34,34,435,68,0,0,,,,,,,,,,,,,,,
New York,2019,29,7/20/2019,1893,1750,27,425,55,41,43,96,30,36,38,462,69,0,0,,,,,,,,,,,,,,,
New York,2019,30,7/27/2019,1757,1633,21,398,53,38,41,83,30,27,30,463,69,0,0,,,,,,,,,,,,,,,
New York,2019,31,8/3/2019,1824,1708,26,400,33,39,47,83,40,35,37,486,81,0,0,,,,,,,,,,,,,,,
New York,2019,32,8/10/2019,1894,1752,18,445,36,48,42,89,29,37,32,489,83,0,0,,,,,,,,,,,,,,,
New York,2019,33,8/17/2019,1838,1704,26,430,49,46,26,89,42,38,23,450,84,0,0,,,,,,,,,,,,,,,
New York,2019,34,8/24/2019,1719,1583,22,382,34,43,41,77,28,26,35,417,76,0,0,,,,,,,,,,,,,,,
New York,2019,35,8/31/2019,1785,1640,23,392,45,50,40,75,36,49,32,454,70,0,0,,,,,,,,,,,,,,,
New York,2019,36,9/7/2019,1845,1715,24,405,47,51,51,93,29,36,33,445,72,0,0,,,,,,,,,,,,,,,
New York,2019,37,9/14/2019,1743,1626,17,383,50,46,32,75,35,43,27,441,84,0,0,,,,,,,,,,,,,,,
New York,2019,38,9/21/2019,1783,1662,18,397,37,41,37,85,43,43,35,422,76,0,0,,,,,,,,,,,,,,,
New York,2019,39,9/28/2019,1877,1740,22,417,46,62,34,92,37,26,30,469,73,0,0,,,,,,,,,,,,,,,
New York,2019,40,10/5/2019,1872,1736,24,410,39,42,38,88,45,27,40,497,72,0,0,,,,,,,,,,,,,,,
New York,2019,41,10/12/2019,1901,1776,24,396,44,56,36,86,37,33,50,492,72,0,0,,,,,,,,,,,,,,,
New York,2019,42,10/19/2019,1942,1819,26,421,49,47,55,87,32,26,37,516,85,0,0,,,,,,,,,,,,,,,
New York,2019,43,10/26/2019,1851,1740,17,404,42,48,51,82,47,34,41,464,73,0,0,,,,,,,,,,,,,,,
New York,2019,44,11/2/2019,1947,1807,32,423,48,53,48,84,41,32,48,488,77,0,0,,,,,,,,,,,,,,,
New York,2019,45,11/9/2019,1947,1813,18,443,65,53,39,96,27,56,44,465,85,0,0,,,,,,,,,,,,,,,
New York,2019,46,11/16/2019,1983,1868,24,416,59,62,39,82,44,50,30,482,87,0,0,,,,,,,,,,,,,,,
New York,2019,47,11/23/2019,1975,1854,31,422,58,59,43,103,39,34,37,501,88,0,0,,,,,,,,,,,,,,,
New York,2019,48,11/30/2019,1965,1836,31,412,45,50,48,109,34,38,47,502,79,0,0,,,,,,,,,,,,,,,
New York,2019,49,12/7/2019,2037,1894,21,430,53,56,47,107,27,46,30,530,92,0,0,,,,,,,,,,,,,,,
New York,2019,50,12/14/2019,1961,1845,25,415,43,54,45,81,52,48,45,496,90,0,0,,,,,,,,,,,,,,,
New York,2019,51,12/21/2019,1996,1863,28,370,55,56,57,107,39,30,47,504,89,0,0,,,,,,,,,,,,,,,
New York,2019,52,12/28/2019,2035,1923,30,422,60,49,60,121,27,32,58,520,92,0,0,,,,,,,,,,,,,,,
New York,2020,1,1/4/2020,2164,2032,22,414,60,75,86,127,51,29,47,542,79,0,0,,,,,,,,,,,,,,,
New York,2020,2,1/11/2020,2092,1978,23,412,59,60,63,135,48,43,43,527,82,0,0,,,,,,,,,,,,,,,
New York,2020,3,1/18/2020,2167,2038,24,423,49,63,66,124,44,45,33,580,92,0,0,,,,,,,,,,,,,,,
New York,2020,4,1/25/2020,2023,1886,31,416,61,38,59,97,55,51,43,497,78,0,0,,,,,,,,,,,,,,,
New York,2020,5,2/1/2020,2028,1916,27,399,57,45,52,114,50,38,50,505,89,0,0,,,,,,,,,,,,,,,
New York,2020,6,2/8/2020,2054,1933,29,412,52,49,62,107,53,37,41,548,77,0,0,,,,,,,,,,,,,,,
